competency_id,competency,,Domaine ,Description,BlockID,BlockName,isIT
C25,"analyse large-scale data in health care
analyse statistics in healthcare
analyse statistic in healthcare
interpret large-scale data in healthcare
assay large-scale data in healthcare
evaluate large-scale data in healthcare
carry out large-scale data in healthcare
analyze large-scale data in healthcare
examine large-scale data in healthcare
analyse big data in healthcare",1,Data Analysis,"Carry out large-scale data gathering such as questionnaire surveys, and analyse the obtained data.",,,1
C26,"mine data
use model data",3,Machine Learning,"Explore large datasets to reveal patterns using statistics, database systems or artificial intelligence and present the information in a comprehensible way.",,,1
C27,"analyze big data
scrutinise big data
big data analysis
investigate big data
search big data
test big data
analysing big data
big data analysing",1,Data Analysis,"Collect and evaluate numerical data in large quantities, especially for the purpose of identifying patterns between the data.",,,1
C28,data engineering methods,4,Data Engineering & Databases,The process of developing and constructing systems for implementing data collection and analysis at large scale.,,,1
C29,"oil operations data analysis
analysing oil operations data
recording data about oil operations
data analysis for oil operations
recording of oil operations data
analysis of oil operations data
analyze oil operations data
oil operations data recording
data recording for oil operations
analysing data for oil operations
record oil operations data
recording oil operations data",1,Data Analysis,"Record and process oil operating data. Comprehend and analyse documents, instruments and data results of laboratory analyses.",,,1
C30,"biostatistical methods
medical research using statistics
medical application of statistics
statistical analysis of medical practice",1,Data Analysis,"The methods used to summarise, collect, present, and interpret data in medical practice. The use of the obtained data to estimate and test hypotheses in the medical field.",,,1
C31,"MySQL Classic Edition
MySQL Enterprise Edition
MySQL Embedded (OEM/ISV)
MySQL Standard Edition
MySQL Cluster CGE",4,Data Engineering & Databases,"The computer program MySQL is a tool for creating, updating and managing databases, currently developed by the software company Oracle.",,,1
C32,"Informix 4GL/SQL
Subquery
SEQUEL",4,Data Engineering & Databases,The computer language SQL is a query language for retrieval of information from a database and of documents containing the needed information. It is developed by the American National Standards Institute and the International Organization for Standardization.,,,1
C33,utilise object-oriented programming,2,Programming & Software Development,"Utilise specialised ICT tools for programming paradigm based on the concept of objects, which can contain data in the form of fields and code in the form of procedures. Use programming languages which support this method such as JAVA and C++.",,,1
C34,"employ ICT tools for computer code creation
use ICT tools for computer code generation
employ programming languages for computer code creation
use ICT tools for computer code development
use ICT tools for computer code creation",2,Programming & Software Development,"Utilise specialised ICT tools to create computer code that is interpreted by the corresponding run-time environments in order to extend applications and automate common computer operations. Use programming languages which support this method such as Unix Shell scripts, JavaScript, Python and Ruby.",,,1
C35,quantitative data analysis,1,Data Analysis,The technique of employing statistical and mathematical modelling and measurement to represent a specific reality through numbers.,,,1
C36,data presentation software,1,Data Analysis,"A computer tool or application that creates a graphical and visual representation of data, allowing a better understanding and interpretation of complex data through visual elements such as maps, charts, infographics or graphs.",,,1
C37,statistical modeling,1,Data Analysis,The approaches for employing statistical analysis to dataset within the data science field. It seeks to elaborate reality predictions through statistical models and explicit assumptions.,,,1
C38,"survey data processing
survey data analysis
collected survey data processing
processing collected survey data
analysing of survey data
processing survey data
processing of collected survey data
analyse survey data
analysis of survey data
analysing survey data",1,Data Analysis,"Analyse and interpret survey data acquired from a wide variety of sources e.g. satellite surveys, aerial photography and laser measurement systems.",,,1
C39,"Microsoft SSIS
Microsoft SQL Server Integration Services
SSIS",4,Data Engineering & Databases,"The computer program SQL Server Integration Services is a tool for integration of information from multiple applications, created and maintained by organisations, into one consistent and transparent data structure, developed by the software company Microsoft.",,,1
C40,"interpret data on elements of logistics
interpret logistical data through analytical methods
analyse data on logistical elements
use methods for analysing logistical data
interpret logistical data
utilise methods for analysing logistical data
interpret logistical data through use of analytical methods
utilise logistical data analysis methods
utilise methods of logistical data analysis
analyse logistical data
use logistical data analysis methods",1,Data Analysis,"Read and interpret supply chain and transportation data. Analyse the reliability and availability of findings by using methods such as data mining, data modelling and cost-benefit analysis.",,,1
C41,research design methods,2,Programming & Software Development,"The set of methods and techniques of research that are used to conduct a study. It includes practical steps in research such as purpose statement, data collection, methodology, and data analysis.",,,1
C42,DBMS,4,Data Engineering & Databases,"Extract, store and verify information using database management systems based on the relational database model, which arranges data into tables of rows and columns, such as Oracle Database, Microsoft SQL Server and MySQL.",,,1
C43,"Not Only SQL non-relational database
NoSQL database management system
NoSQL non-relational database
Not Only SQL database management system",4,Data Engineering & Databases,"The Not Only SQL non-relational database used for creating, updating and managing large amounts of unstructured data stored in the cloud.",,,1
C44,"experimental data
use of data in performance of work
use of statistics
organisation of data
data analysis
survey data
use of statistics in performance of work
data collection
stats
data work
big data
metadata
statistical analysis
use of data
administrative data",1,Data Analysis,"The study of statistical theory, methods and practices such as collection, organisation, analysis, interpretation and presentation of data. It deals with all aspects of data including the planning of data collection in terms of the design of surveys and experiments in order to forecast and plan work-related activities.",,,1
C45,"analyse civil aviation authority data for incorporation into aeronautical publications
develop aeronautical publication amendments through data analysis
collect edit and analyse data for incorporation into aeronautical publications
evaluate data for aeronautical publications
analyze data for aeronautical publications
assess data for aviation publications
conduct aeronautical data analysis for incorporation into aeronautical publications
evaluate data for aviation publications
create aeronautical publication amendments through data analysis
analyse data for aviation publications
assess data for aeronautical publications",1,Data Analysis,"Collect, edit, and analyse data received from civil aviation authorities and related services. Analyse the data to prepare amendments that are incorporated into aeronautical informational publications.",,,1
C46,"carry out machine learning
use machine learning
utilize machine learning
perform machine learning",3,Machine Learning,"Use techniques and algorithms that are able to extract mastery out of data, learn from it and make predictions, to be used for program optimisation, application adaptation, pattern recognition, filtering, search engines and computer vision.",,,1
C47,business data analytics,1,Data Analysis,The disciplines and technologies for solving business problems through employing quantitative methods such as data analysis and statistical models.,,,1
C48,fundamental data analysis,1,Data Analysis,The techniques for measuring the intrinsic value of a financial security through the assessment its economic and financial factors. It combines together the analysis of macroeconomic trends and of financial statements of the companies.,,,1
C49,carry out ICT user research,2,Programming & Software Development,"Perform research tasks such as recruitment of participants, scheduling of tasks, collecting of empirical data, data analysis and production of materials in order to assess the interaction of users with an ICT system, program or application.",,,1
C50,Postgres,4,Data Engineering & Databases,"The computer program PostgreSQL is a free and open-source software tool for creating, updating and managing databases, developed by the PostgreSQL Global Development Group.",,,1
C51,"PointBase Embedded
R:Base
Adaptive Server Anywhere
Oracle Lite
Rdb
Interbase
Velocis
Jasmine ii
Raima Database Manager
IDMS
YARD-SQL
Versant
Oracle 8I
Db.linux
NonStop SQL
Quadbase SQL Server
PointBase Network Server
Pervasive.SQL 2000
UniData
UniSQL
Adaptive Server Enterprise
Db.star
POET Object Server Suite
Informix Dynamic Server 2000
Informix Extended Parallel Server
DBMS
Cloudscape
SUPRA
database systems
SQLBase
IMS DB
Peoplesoft
Datacom
DB2 Everyplace
Sybase
PointBase Mobile
Model 204
Advantage Database Server
Pervasive.SQL Workgroup
Adabas D
TimesTen
DB engines
Adabas
Objectivity DB
SQL
Ingres ii",4,Data Engineering & Databases,"The tools for creating, updating and managing databases, such as Oracle, MySQL and Microsoft SQL Server.",,,1
C52,"statistical analysing of system software
statistical analysis of system software
statistical analysis of software systems
statistical analysis system programme
statistical analysis system operating system
statistical analysis system application",1,Data Analysis,"Specific software system (SAS) used for advanced analytics, business intelligence, data management, and predictive analytics.",,,1
C53,"C++ software
C++ framework",2,Programming & Software Development,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in C++.",,,1
C54,use network diagnostics tools,5,"Cloud, DevOps & IT Systems","Use software tools or components that monitor ICT network parameters, such as performance and throughput, provide data and statistics, diagnose errors, failures or bottlenecks and support decision making.",,,1
C55,MS SQL Server,4,Data Engineering & Databases,"The computer program SQL Server is a tool for creating, updating and managing databases, developed by the software company Microsoft.",,,1
C56,"perform analysis of safety data
analyse safety data to identify safety threats
conduct safety analyses using database information
conduct safety data analysis
evaluate safety data
analyse safety data to determine safety threats
perform assessments of safety data
utilise information from safety bases to analyse threats to safety
conduct analysis of safety data
use information from safety databases to analyse threats to safety
evaluate safety data to determine safety threats
perform safety data assessment",1,Data Analysis,Use different safety databases to perform analyses of information on actual or potential safety threats.,,,1
C57,"create data visualisation
visualise data",1,Data Analysis,Create visual representations of data such as charts or diagrams for easier understanding.,,,1
C58,"use particular data analysis software
utilise particular data analysis software
utilise specific data analysis software
undertake data analysis through use of specific software
perform data analysis using specific software
conduct data analysis activities utilising specific software
conduct data analysis using particular software
carry out data analysis using specific software
use specific software for data analysis
utilise specific software for data analysis",1,Data Analysis,"Use specific software for data analysis, including statistics, spreadsheets, and databases. Explore possibilities in order to make reports to managers, superiors, or clients.",,,1
C59,"Python 3K
Python",2,Programming & Software Development,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Python.",,,1
C60,"present a report
prepare statistical reports
submit presentation",1,Data Analysis,"Display results, statistics and conclusions to an audience in a transparent and straightforward way.",,,1
C61,"monitor an after sales record
monitoring after sale records
view after sales records
watch after sales records
oversee after sales records
monitoring after sales records
supervise after sales records",1,Data Analysis,Keep an eye on the after sales feedback and monitor customer satisfaction or complaints; record after sales calls for thorough data analysis.,,,1
C62,"compose statistical data for insurance purposes
collect statistical data for insurance purposes
produce statistics for insurance purposes",1,Data Analysis,Produce statistics on potential risks such as natural and technical disasters and production downtimes.,,,1
C63,"analysing seismic data
analyse seismic data
interpreting of seismic data
interpreting seismic data
analysis of seismic data
seismic data interpretation
analysing of seismic data
seismic data analysis
interpretation of seismic data",1,Data Analysis,Interpret data gathered through seismic survey to visualize the subsurface of the earth.,,,1
C64,"deep neural networking
deep learning methods
deep learning principles",3,Machine Learning,"The principles, methods and algorithms of deep learning, a subfield of artificial intelligence and machine learning. Common neural networks like perceptrons, feed-forward, backpropagation, and convolutional and recurrent neural networks.",,,1
C65,"data science process
science of data",6,NLP & AI Advanced / Data Science,The field of study that deals with big amount of data using AI techniques such as machine learning algorithms to predict patterns and obtain useful information to make business decisions.,,,1
C66,empirical data analysis,1,Data Analysis,The evidence-based method that is used to analyse and interpret information with the aim of drawing conclusions about a specific issue.,,,1
C67,NLP,6,NLP & AI Advanced / Data Science,The technologies which enable ICT devices to understand and interact with users through human language.,,,1
,"manage music staff
coordinate duties of musical staff
direct musical staff
manage staff of music",,,"Assign and manage staff tasks in areas such as scoring, arranging, copying music and vocal coaching.",,,0
,"perform research on flora
run research on flora
flora research
research on flora
carry out research on flora",,,"Collect and analyse data about plants in order to discover their basic aspects such as origin, anatomy, and function.",,,0
,"advise customers
counsel on trade regulations
advise customers on tariff systems
counsel on custom-related topics
guide on import and export regulations",,,"Give information to people regarding import and export restrictions, tariff systems and other custom-related topics.",,,0
,"define terminology databases prepare terminology databases
draw up terminology databases
populate terminology databases
write terminology databases
compile terminology databases",,,Collect and submit terms after verifying their legitimacy in order to build up terminology databases on an array of domains.,,,0
,"arrange chaperone for children on set
providing chaperone for children on set
provide chaperone for child on set
organise chaperone for children on set
offer chaperone for children on set",,,Make sure there is always a chaperone present on the set when recruiting underage children to perform in a motion picture.,,,0
,"conduct a viability analysis for facility management systems
carry out bms feasibility study
execute a feasibility investigation for building management systems
undertake an assessment of building management system feasibility",,,"Perform the evaluation and assessment of the potential of a building management system. Realise a standardised study to determine the energy saving contribution, costs and restrictions, and conduct research to support the process of decision making.",,,0
,"manage DMX for performing art
manage RDM for performing art
manage MIDI for performing art
coordinate live performance technology
manage Timecode control signals for performing art",,,"Manage the set-up of networks for distribution of control signals for performing art and event applications. Coordinates with the different users. Defines and sets-up the equipment, cables, connections and devices. Configures, tests and monitors equipment and performance of the network. Control signals include for example DMX, RDM, MIDI, Timecode, tracking and positioning data, but also audio, video and positioning signals.",,,0
,"support clients in decision-making during councelling sessoins
help clients make a decision during counseling sessions
help clients take decisions during councelling sessions
help a client make decisions during a counceling session
help clients make a decision during counselling sessions
encourage clients to make decisions during counselling sessions
help a client make decisions during a councelling session
encourage clients to make decisions in councelling sessions
help clients make decisions during counseling sessions",,,"Encourage clients to make their own decisions related to their problems or inner conflicts by reducing confusion and allowing clients to reach their own conclusions, with no bias whatsoever.",,,0
,"fiction
nonfiction
prose",,,"The body of artistic writing characterized by beauty of expression, form, and universality of intellectual and emotional appeal.",,,0
,"fill equipment
cram equipment
loading equipment
pack equipment
equipment loading
stack equipment",,,Handle safe loading of equipment in given restrictive conditions.,,,0
,"quality control oversight
statistical process oversight
quality control jurisdiction
statistical process jurisdiction
quality control authority
quality control supervision
statistical process supervision
statistical process authority",,,Method of quality control that uses statistics to monitor processes.,,,0
,"international regulations governing the loading and unloading of cargo
international conventions on the loading and unloading of freight
international regulations for handling of shipments
international conventions on the loading and unloading of cargo
international regulations for handling of cargo
international regulations governing the loading and unloading of shipments
international regulations for shipment handling
international regulations governing the loading and unloading of freight
international conventions on the loading and unloading of shipments
international regulations for handling of freight
international regulations for freight handling",,,"The body of conventions, guidelines and rules which dictate the activity of loading and unloading cargo in international ports.",,,0
,"pathologies treated through acupuncture
medical conditions treated by acupuncture
pathology treated by acupuncture
application of acupuncture techniques to medical conditions
disorders treated by acupuncture",,,"The types and range of conditions such as physical pain, head aches, back pain, allergies, addictions, digestive problems or cold, which are treated by acupuncture.",,,0
,"ICT network routing techniques
ICT network processes
ICT network routing processes
ICT network techniques",,,The processes and techniques for choosing the best paths within an ICT network through which a packet can travel.,,,0
,"implement conflict management
administer conflict management
utilise conflict management
applying conflict management
conflict management application
employ conflict management
application of conflict management",,,"Take ownership of the handling of all complaints and disputes showing empathy and understanding to achieve resolution. Be fully aware of all Social Responsibility protocols and procedures, and be able to deal with a problematic gambling situation in a professional manner with maturity and empathy.",,,0
,,,,"Define a comprehensive and proactive strategy for managing information and communication technology (ICT) security risks by establishing a set of measures and responsibilities to ensure the confidentiality, integrity and availability of information. Implement policies to prevent data breaches, detect and respond to unauthorised access to systems and resources, including up-to-date security applications and employee education.",,,0
,"cooperate with the motion picture editing team
working with the motion picture editing team
work with the motion picture editing teams
collaborate with the motion picture editing team
co-operate with the motion picture editing team",,,Work together with the motion picture editing team during post-production. Make sure the finished product is according to specifications and creative vision.,,,0
,"test aeronautical information management systems for improvement
test functions of improved aeronautical information management systems
perform testing on AIM systems
perform AIM improvement testing
test AIM systems for improvement
perform testing on improved aeronautical information management systems
test functions of improved AIM systems
conduct aeronautical information management systems improvement testing
test improved AIM systems
conduct AIM improvement testing",,,Test functionality of systems before releasing them; test potential impacts and predict final outcome.,,,0
,"determine hvac system fitting nzeb demands
determine appropriate heating and cooling system fitting nzeb demands
determine systems that fit nzeb demands",,,"Determine the appropriate system in relation to available energy sources (soil, gas, electricity, district etc) and that fit the NZEB demands.",,,0
,"help in road collisions
provide aid in road accidents
provide aid in road collisions
help recover in road accidents
help in road accidents
help recover in road collisions",,,Save and extricate victimes of road traffic accidents.,,,0
,"establish emergency response procedures for airports
design airport emergency plans
execute airport ERP
develop emergency plans for airports
create airport emergency plans
formulate airport emergency plans
deliver airport emergency plan
prepare airport emergency plans
develop airport emergency plans
ensure airport emergency plan
carry out airport emergency plan
put airport emergency response plan into operation
develop emergency response plan for airports
establish airport emergency response plan
prepare emergency plans for airports
establish emergency procedures for airports
execute AEP
put airport emergency response plan into action
implement AEP
execute airport emergency plan
execute airport emergency response plan
carry out AEP",,,"Design and execute the plan to ensure full implementation of emergency procedures during any crisis or disaster situations. During development of the plan, envision the way crew members should work together during preventative, and actual emergency situations. Manage communications in the airport, prepare evacuation procedures and routes, and restrict access to zones during simulations or real emergency situations.",,,0
,"establish emergency response procedures for airports
design airport emergency plans
execute airport ERP
develop emergency plans for airports
create airport emergency plans
formulate airport emergency plans
deliver airport emergency plan
prepare airport emergency plans
develop airport emergency plans
ensure airport emergency plan
carry out airport emergency plan
put airport emergency response plan into operation
develop emergency response plan for airports
establish airport emergency response plan
prepare emergency plans for airports
establish emergency procedures for airports
execute AEP
put airport emergency response plan into action
implement AEP
execute airport emergency plan
execute airport emergency response plan
carry out AEP",,,"Design and execute the plan to ensure full implementation of emergency procedures during any crisis or disaster situations. During development of the plan, envision the way crew members should work together during preventative, and actual emergency situations. Manage communications in the airport, prepare evacuation procedures and routes, and restrict access to zones during simulations or real emergency situations.",,,0
,"describe flavor of different wines
describe the flavour of different wines
describe the flavours of different wines
describe the flavour of a different wine
depict flavour of different wines
show the flavour of different wines
portray flavour of different wines
taste the flavour of different wines",,,"Describe taste and aroma, also known as flavour, of different wines using the adequate lingo and relying on experience to classify the wines.",,,0
,"wash out confined spaces
clean cramped spaces
clean spaces which are confined
clean confined space
cleaning confined spaces
clean restricted places",,,"Perform required cleaning activities in enclosed or partially enclosed spaces which pose risks to human health and safety such as tanks, wells, manholes and open ditches. Take all the preventive measures required when working in such spaces.",,,0
,"project sales over periods of time
forecast sales over period of time
estimate sales over periods of time
predict sales over periods of time
forecast sales over time periods
forecasting sales over periods of time
forecast sales over time",,,Calculate and estimate the expected sales of products and services over different periods of time in order to determine their profitability.,,,0
,"Adobe Photoshop Elements
Adobe Photoshop CC",,,The computer program Adobe Photoshop is a graphical ICT tool which enables digital editing and composition of graphics to generate both 2D raster or 2D vector graphics. It is developed by the software company Adobe.,,,0
,"implementing computer network safety policies
implementing ICT safety policies
implement computer network safety policies
implement ICT safety policies
implement computer network security policies
apply on-line safety guidelines
ICT safety policies implementing
apply on-line security guidelines
on-line security guidelines applying
on-line safety guidelines applying",,,"Implement statements, assertions or rules that specify the appropriate use and protection of the ICT assets and systems from an organisation. These ICT security policies cover topics such as data classification, password management, access control and incident response.",,,0
,"commit support to national citizens
give assistance to national citizens
commit assistance to national citizens
provide assistance to national citizens
provide support to national citizens
arrange assistance to national citizens
arrange support for national citizens
give support to national citizens",,,Offer assistance to national citizens abroad in emergency situations or for matters related to the national jurisdiction.,,,0
,"back victims of human rights violations
help victims of human rights abuses
aid victims of human rights violations
advocate victims of human rights violations
back victims of human rights abuses
aid victims of human rights abuses
help victims of human rights violations
advocate victims of human rights abuses",,,"Support individuals or groups who have been a target of abuse, discrimination, violence or other acts which violate human rights agreements and regulations in order to protect them and provide them with necessary aid.",,,0
,"evaluate ICT process impact
carry out ICT process impact evaluation",,,Evaluate the tangible consequences of the implementation of new ICT systems and functions on the current business structure and organisational procedures.,,,0
,"crime victim legislation
legal rights of a crime victim
crime victim's rights
crime victim right
legal rights of crime victims
rights of crime victims",,,Legal rights to which victims of a crime are entitled to under national law.,,,0
,"forecasting energy prices
energy prices forecasting
energy price predicting
predict energy prices
predicting energy prices
energy price forecasting
energy prices predicting",,,Analyse the energy market and external factors which may influence trends in the energy market in order to predict the movement of prices for energy and utility consumption.,,,0
,"tend to amusement park booths
attend to booths in amusement parks
tend to booths in amusement parks
occupy booths in fun parks",,,"Occupy booths in amusement parks or carnivals; perform duties such as conducting games; take pictures of visitors, award trophies and prizes.",,,0
,"motor vehicle parts diagrams
motor vehicles parts drawings
motor vehicle parts pictures
motor vehicle parts drawing
motor vehicle parts sketches
motor vehicle parts blueprints
motor vehicle part drawing",,,The various types of technical drawings used in relation to motor vehicles parts.,,,0
,"operate automatic cutting systems for footwear
use automatic cutting systems for footwear and leather goods
use automatic cutting systems for footwear and leatherwear
use automatic cutting systems for footwear and leather products
operate automatic cutting systems for footwear and leatherwear
operate automatic cutting systems for leather goods",,,"Work with the equipment's software. Digitise and mark the leather areas with faults in order to avoid them. Establish nesting and cutting restrictions for each pattern. Pick up, sort, upload patterns, check and complete cutting orders. Adjust the machines and equipment parameters and perform simple procedures for maintenance.",,,0
,"anticipate potential issues
foresee deficiencies
predict potential deficiencies
anticipate potential shortcomings
anticipate potential flaws
anticipate potential weaknesses
anticipate problems
predict shortcomings
predict problems
foresee potential flaws",,,Assess scenarios in order to anticipate and pinpoint potential deficiencies. Rely on experience combined with statistical probability to mitigate the risk of encountering setbacks.,,,0
,"limit passenger access to specific on board areas
prevent passengers accessing unauthorised areas
restrict passenger access to specific on board areas
restrict passenger access to particular areas on board
restrict passenger access to particular on board areas
ensure passengers remain in designated passenger areas
prevent passenger access to restricted areas
ensure passengers do not access restricted areas
prevent unauthorised access by passengers
limit passenger access to specific areas on board",,,Delimit access points for passengers on board and implement an effective protection system; prevent unauthorised access to restricted areas at all times.,,,0
,"forecasting organisational risks
foresee organisational risks
forecast organizational risks
forecast organisational risk
predict organisational risks",,,"Analyse the operations and actions of a company in order to assess their repercussions, possible risks for the company, and to develop suitable strategies to address these.",,,0
,"review with producer
consulting with producer
consult with producer
discuss with producer
consult with producers
confer with producer",,,"Consult with a motion picture producer about requirements, deadlines, budget, and other specifications.",,,0
,"carry out feasibility study on district heating and cooling
do a feasibility study on district heating and cooling
perform a feasibility study on DHC",,,"Perform the evaluation and assessment of the potential of district heating and cooling system. Realise a standardised study to determine the costs, restrictions, and the demand for heating and cooling of the buildings and conduct research to support the process of decision making.",,,0
,ICT system upgrade,,,"Plan, realise and monitor system changes and upgrades. Maintain earlier system versions. Revert, if necessary, to a safe older system version.",,,0
,"tell stories
narrate a story
relate a storyline
telling a story",,,"Tell a true or ficticious story so as to engage an audience, having them relate with the characters in the story. Keep the audience interested in the story and bring your point, if any, across.",,,0
,"possess visual literacy
interpret visual representations
apply visual literacy
interpret various forms of visual representations
be visually literate
utilise visual literacy
use visual literacy
have graphic literacy
comprehend various forms of visual representation
use graphic literacy
have visual literacy",,,"Interpret charts, maps, graphics, and other pictorial presentations used in place of the written word.",,,0
,"horoscopy
stargazing",,,The study of the movements and positions of celestial bodies and interpretation of these to predict natural earthly occurrences and the lives and behaviour of people.,,,0
,"fortune-telling methods
fortune telling techniques
fortune-telling technique",,,"The methods or objects that are used by fortune tellers to interpret and predict the future, such as card reading, palm reading or tea-leaves reading.",,,0
